성남상권,상권명,상권종류,longitude,latitude
야탑 먹자골목,야탑1동주민센터,발달상권,127.130174,37.411953
야탑역 상권,야탑역,발달상권,127.127944,37.411164
야탑3동 상권,매화로,발달상권,127.134415,37.41148
판교테크노벨리,판교역로,발달상권,127.110899,37.401495
판교테크노벨리,아이큐아리움,발달상권,127.107703,37.401308
판교테크노벨리,대왕판교로645번길,발달상권,127.103302,37.401538
판교역로 상권,판교역로192번길,발달상권,127.111432,37.396937
백현동 상권,동판교로52번길,발달상권,127.115072,37.387088
수내역로데오 상권,수내역,발달상권,127.11408,37.378758
서현역로데오 상권,서현역,발달상권,127.123007,37.385426
서현역로데오 상권,롯데마트서현점,발달상권,127.121515,37.387045
정자1동카페거리,정자역_3번출구,발달상권,127.107363,37.366185
정자1동카페거리,정자일로_1,발달상권,127.105208,37.367644
정자동 먹자골목 상권,내정로17번길,발달상권,127.113978,37.362616
미금현대벤처빌 상권,미금역_3번출구,발달상권,127.110455,37.349509
오리역 상권,오리역_6번출구,발달상권,127.108167,37.341183
오리역 상권,오리역,발달상권,127.109963,37.339361
야탑 먹자골목,매화로,골목상권,127.132362,37.412197
야탑3동 상권,맹산반딧불이자연학교,골목상권,127.141541,37.411112
백현동 상권,동판교로52번길,골목상권,127.113878,37.385674
백현동 상권,판교역로10번길,골목상권,127.110148,37.386469
정자동 상권,내정로119번길,골목상권,127.113086,37.372023
정자동 먹자골목 상권,정자1동주민센터,골목상권,127.11159,37.36081
미금현대벤처빌 상권,미금일로,골목상권,127.111398,37.346003
수내 전통상권,금호시장,전통시장,127.116817,37.376291
수내 전통상권,코끼리상가시장,전통시장,127.120742,37.372795
수내 전통상권,돌고래시장,전통시장,127.122221,37.371346
수내 전통상권,동신종합시장,전통시장,127.123009,37.370604
수내 전통상권,현대프라자시장,전통시장,127.123761,37.369883
서현 전통상권,현대시장(분당),전통시장,127.13024,37.379711
서현 전통상권,분당우성시장,전통시장,127.132303,37.378208
서현 전통상권,미래그린시장,전통시장,127.13775,37.373397
서현 전통상권,미래타운제2종합시장,전통시장,127.139113,37.372331
