상권,종류,월,화,수,목,금,토,일,성남상권
야탑1동주민센터,발달,14.7,15.0,14.3,13.7,17.2,16.7,8.5,야탑 먹자골목
야탑역,발달,12.2,12.9,18.1,13.6,14.3,16.5,12.4,야탑역 상권
매화로,발달,23.3,11.1,12.1,16.1,21.0,9.5,7.0,야탑3동 상권
판교역로,발달,18.0,19.3,16.9,18.4,18.4,5.5,3.5,판교테크노벨리
아이큐아리움,발달,16.6,20.4,14.6,19.8,19.9,6.3,2.4,판교테크노벨리
대왕판교로645번길,발달,17.0,15.9,15.6,15.9,13.2,11.2,11.3,판교테크노벨리
판교역로192번길,발달,14.3,15.9,14.2,15.5,17.4,15.7,7.1,판교역로 상권
동판교로52번길,발달,12.7,13.7,17.0,11.7,15.2,16.7,13.2,백현동 상권
수내역,발달,20.2,17.4,12.8,13.2,15.0,14.2,7.2,수내역로데오 상권
서현역,발달,11.7,12.4,12.9,13.1,17.3,17.9,14.8,서현역로데오 상권
롯데마트서현점,발달,15.2,15.2,13.5,14.3,17.2,16.3,8.3,서현역로데오 상권
정자역_3번출구,발달,14.2,15.8,14.1,15.0,17.9,15.3,7.6,정자1동카페거리
정자일로_1,발달,12.6,14.0,14.4,14.1,16.7,18.4,9.8,정자1동카페거리
내정로17번길,발달,14.7,16.4,14.9,13.4,16.2,14.6,9.9,정자동 먹자골목 상권
미금역_3번출구,발달,14.2,15.7,14.8,15.2,17.1,16.1,7.0,미금현대벤처빌 상권
오리역_6번출구,발달,15.7,16.6,16.1,14.5,14.6,14.7,7.7,오리역 상권
오리역,발달,14.3,14.5,14.4,14.5,15.0,18.1,9.3,오리역 상권
매화로,골목,12.5,14.0,13.6,13.7,17.8,17.5,10.9,야탑 먹자골목
맹산반딧불이자연학교,골목,11.9,14.5,16.0,13.0,15.2,17.1,12.4,야탑3동 상권
동판교로52번길,골목,7.6,13.3,11.3,11.1,17.8,17.7,21.2,백현동 상권
판교역로10번길,골목,10.9,12.1,13.6,14.4,14.5,19.4,15.0,백현동 상권
내정로119번길,골목,11.8,13.6,14.0,14.2,15.6,18.1,12.6,정자동 상권
정자1동주민센터,골목,10.9,12.8,14.6,13.2,15.2,16.9,16.4,정자동 먹자골목 상권
미금일로,골목,11.5,13.0,14.0,14.7,16.8,17.8,12.1,미금현대벤처빌 상권
금호시장,전통,14.5,15.6,15.8,15.2,17.4,18.2,3.4,수내 전통상권
코끼리상가시장,전통,15.2,14.3,15.1,13.9,14.8,18.0,8.7,수내 전통상권
돌고래시장,전통,16.0,15.6,15.6,14.4,17.1,21.1,0.2,수내 전통상권
동신종합시장,전통,14.0,15.0,20.0,12.0,18.3,14.8,5.9,수내 전통상권
현대프라자시장,전통,14.2,15.5,15.7,14.2,16.4,17.1,6.9,수내 전통상권
현대시장(분당),전통,15.6,13.7,14.9,14.6,18.0,15.4,7.8,서현 전통상권
분당우성시장,전통,15.5,15.2,13.8,14.5,17.8,17.3,5.8,서현 전통상권
미래그린시장,전통,12.2,12.1,13.3,13.4,16.1,17.9,15.1,서현 전통상권
미래타운제2종합시장,전통,12.1,14.3,12.7,13.5,18.5,18.3,10.6,서현 전통상권
범한프라자시장,전통,,,,,,,,서현 전통상권
미금현대벤처빌시장,전통,,,,,,,,미금현대벤처빌 상권
